revenue_ttm_billion,price_gbp,earnings_ttm_billion,pe_ratio_ttm,marketcap_billion,dividend_yield_ttm,gdp_per_capita,gdp_growth_2024,inflation_rate,interest_rate,exchange_rate,unemployment_rate
9.672,147.2068622,1.3139,1.05455e-08,16.60981831119515,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.019648,14.873154416,-0.525685,-1.15706e-08,1.8489560921702,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,61.1777684,1.3740052,5.59167e-08,16.60981831119515,9.376550000000001e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.004124,3.009742,-0.090555,-1.78341e-09,0.1436468570707,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.1285,95.12232444,-0.4132,3.63787e-08,16.60981831119515,1.1154500000000001e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.342138,3.5222058176,-0.055895,1.94144e-08,1.3962529954796998,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.446551,1.3639084,-0.000196,-1.7899999999999998e-08,0.1367563613554999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.355963,24.0626968,0.10321,9.71692e-09,0.7493147800498999,1.89994e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.600935,82.94848952,0.343793,4.45041e-08,7.5831648039731,8.656409999999989e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.13501576,2.9640244,0.0175036,3.80092e-08,0.1224809005548,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.947225,47.4015316,0.252192,1.07327e-08,1.0813853357056,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.1362,10.017335728,0.1925,2.81915e-08,1.1416758047334,2.26415e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
5.438,64.309424,0.705,1.75608e-08,4.7047808067379,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.077681,4.367478524,0.002467,-2.5999999999999997e-09,0.0905256026304,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0,0.85187128,-0.034804,-8.12903e-10,0.05480300988256,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.024687889,1.104613412,-0.0209196,-2.5892900000000003e-09,0.02926253433232,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
8.017,83.3279456,0.629,9.683046749999992e-08,9.6987898282394,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.029937,1.3943868,-0.104774,-9.068629999998999e-10,0.171056399166,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0,3.162134,-0.030644,-3.02143e-08,1.0575157256653,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
10.806,33.9148396,0.656,3.5714299999999994e-08,4.278662150041599,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.229976824,14.229298216,0.0789769,8.11235999999999e-08,2.0615089571358,4.95353e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
1.342299122,2.1739937936,0.17855,2.64619e-08,1.1830097604661,4.0198e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.099915,25.9599772,0.051432,8.78757e-09,0.2590720080256,1.4740600000000004e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
5.0193,153.4701734,0.8098,3.97678999999999e-08,16.380384639222,7.35695e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
8.582991,117.3837478,1.3740052,6.48285e-08,16.60981831119515,2.16858e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.3833,32.142444444,-0.0119,-3.11407e-08,1.6681927493018,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.506125,23.9560224,-0.026676,-4.88906e-08,2.7683580460749,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.195495,13.2047668,-0.030154,-4.48462e-08,0.1621888671736999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.9152,67.8258694,0.1518,4.41456999999999e-08,6.0090191316378,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.00589171,0.796476788,-0.0029609,-1.00351e-09,0.00408385491516,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
